id,name,img,role,url
127,"William D. Cohan","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19096/ds_19096_04.jpg","Author","http://thedailyshow.cc.com/guests/william-cohan"
128,"Mookie Wilson","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19095/ds_19095_04.jpg","Athlete, Author","http://thedailyshow.cc.com/guests/mookie-wilson"
129,"Ramachandra Guha","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19094/ds_19094_04.jpg","Author","http://thedailyshow.cc.com/guests/ramachandra_guha"
130,"Robin Roberts","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19093/ds_19093_04.jpg","Anchor","http://thedailyshow.cc.com/guests/robin_roberts"
131,"Elizabeth Warren","http://1.images.comedycentral.com/images/shows/tds/videos/season_17/17049/ds_17049_04_16x9.jpg","Senator (D-MA)","http://thedailyshow.cc.com/guests/elizabeth-warren"
132,"Gina McCarthy","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19091/ds_19091_04.jpg","EPA Administrator","http://thedailyshow.cc.com/guests/gina_mccarthy"
133,"Jennifer Garner","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19090/ds_19090_05.jpg","Actor","http://thedailyshow.cc.com/guests/jennifer_garner"
134,"Denis Leary","http://2.images.comedycentral.com/images/shows/tds/videos/season_18/18031/ds_18031_04_16x9.jpg","Comedian, Actor, Author","http://thedailyshow.cc.com/guests/denis-leary"
135,"Matt Taibbi","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19087/ds_19087_04.jpg","Author","http://thedailyshow.cc.com/guests/matt_taibbi"
136,"Pele","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19086/ds_19086_exclusive1.jpg","Athlete, Author","http://thedailyshow.cc.com/guests/pele"
137,"Samuel L. Jackson","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19085/ds_19085_04.jpg","Actor","http://thedailyshow.cc.com/guests/samuel_jackson"
138,"Michael Lewis","http://4.images.comedycentral.com/images/shows/tds/videos/season_17/17002/ds_17002_exclusive1_16x9.jpg","Author, Journalist","http://thedailyshow.cc.com/guests/michael-lewis"
139,"Peter Dinklage","http://1.images.comedycentral.com/images/shows/tds/videos/season_18/18074/comedycentral_thedailyshow_1807404_16x9.jpg","Actor","http://thedailyshow.cc.com/guests/peter-dinklage"
140,"Nate Silver","http://4.images.comedycentral.com/images/shows/tds/videos/season_19/19082/ds_19082_exclusive2.jpg","Editor in Chief, FiveThirtyEight","http://thedailyshow.cc.com/guests/nate-silver"
141,"Jude Law","http://3.images.comedycentral.com/images/shows/tds/videos/season_15/15038/ds_15038_03_16x9.jpg","Actor","http://thedailyshow.cc.com/guests/jude-law"
142,"Amy Yates Wuelfing & Gibby Haynes","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19080/ds_19080_04.jpg","Author, Musician","http://thedailyshow.cc.com/guests/wuelfing-haynes"
143,"Arianna Huffington","http://2.images.comedycentral.com/images/shows/tds/videos/season_15/15123/ds_15123_04_16x9.jpg","Editor-in-Chief of The Huffington Post, Author","http://thedailyshow.cc.com/guests/arianna-huffington"
144,"Anita Hill","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19078/comedycentral_thedailyshow_19078_exclusive2.jpg","Professor, Activist","http://thedailyshow.cc.com/guests/anita-hill"
145,"Jason Bateman","http://3.images.comedycentral.com/images/shows/tds/videos/season_18/18054/ds_18054_04_16x9.jpg","Actor","http://thedailyshow.cc.com/guests/jason-bateman"
146,"Paul Taylor","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19075/ds_19075_04.jpg","Author","http://thedailyshow.cc.com/guests/tds-guest-Paul-Taylor"
147,"Kimberly Marten","http://3.images.comedycentral.com/images/shows/tds/videos/season_19/19074/ds_19074_exclusive2.jpg","Political Scientist","http://thedailyshow.cc.com/guests/kimberly-marten"
148,"Rachel Maddow","http://3.images.comedycentral.com/images/shows/tds/videos/season_18/18069/ds_18069_04_16x9.jpg","MSNBC Host","http://thedailyshow.cc.com/guests/rachel-maddow"
149,"Jim DeMint","http://4.images.comedycentral.com/images/shows/tds/videos/season_17/17042/ds_17042_exclusive1_16x9.jpg","Former Senator, Author","http://thedailyshow.cc.com/guests/jim-demint"
150,"Seth MacFarlane","http://4.images.comedycentral.com/images/shows/tds/videos/season_17/17120/ds_17120_04_16x9.jpg","Actor, Director","http://thedailyshow.cc.com/guests/seth-macfarlane"
151,"Kevin Roose","http://1.images.comedycentral.com/images/shows/tds/videos/season_19/19070/ds_19070_exclusive1_rev.jpg","Author","http://thedailyshow.cc.com/guests/kevin-roose"
152,"Liam Neeson","http://2.images.comedycentral.com/images/shows/tds/videos/season_18/18002/ds_18002_04_16x9.jpg","Actor","http://thedailyshow.cc.com/guests/liam-neeson"
153,"Michio Kaku","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19068/ds_19068_04.jpg","Physicist, Professor, Author","http://thedailyshow.cc.com/guests/michio-kaku"
154,"Hooman Majd","http://2.images.comedycentral.com/images/shows/tds/videos/season_19/19067_dana/ds_19067_04.jpg","Author, Journalist","http://thedailyshow.cc.com/guests/hooman-majd"
